"Tax will be deduced from Grand Total","Tax will be deduced from Grand Total"
"Tax will not be tracked in Google Analytics","Tax will not be tracked in Google Analytics"
"Exclude Shipping From Transaction","Exclude Shipping From Transaction"
"Shipping charges will deduced from Grand Total","Shipping charges will deduced from Grand Total"
"Exclude Shipping Including Tax","Exclude Shipping Including Tax"
"Exclude Orders with 0 value","Exclude Orders with 0 value"
"Orders with value 0.00 can be excluded from purchase transactions if you set this option to Yes <br/>
                                Only available in PRO version of this extension. <br>
                                <a style=""font-size: 14px"" target=""_blank"" href=""https://www.weltpixel.com/google-analytics-enhanced-ecommerce-tag-manager-magento-2.html"">Upgrade to Pro version</a> to enable this functionality.","Orders with value 0.00 can be excluded from purchase transactions if you set this option to Yes <br/>
                                Only available in PRO version of this extension. <br>
                                <a style=""font-size: 14px"" target=""_blank"" href=""https://www.weltpixel.com/google-analytics-enhanced-ecommerce-tag-manager-magento-2.html"">Upgrade to Pro version</a> to enable this functionality."
"Success Page Paths","Success Page Paths"
"If you are using custom checkout, and the success page path is different from the default magento path: 'checkout/onepage/success', you can list it here to make sure the Transaction data is sent to GTM.
                        <br/> If you have different success pages you can separate them with "","". <br/> Ex: checkout/onestepcheckout/success, checkout/mycustomcheckout/success","If you are using custom checkout, and the success page path is different from the default magento path: 'checkout/onepage/success', you can list it here to make sure the Transaction data is sent to GTM.
                        <br/> If you have different success pages you can separate them with "","". <br/> Ex: checkout/onestepcheckout/success, checkout/mycustomcheckout/success"
"Measure Product Clicks","Measure Product Clicks"
"Promotion Tracking","Promotion Tracking"
"<b>Example of usage:</b> &#60;a href=""#"" data-track-promo-id=""PROMOID"" data-track-promo-name=""PROMONAME"" data-track-promo-creative=""PROMOCREATIVE"" data-track-promo-position=""PROMOPOSITION"" &#62;Content&#60;/a&#62;","<b>Example of usage:</b> &#60;a href=""#"" data-track-promo-id=""PROMOID"" data-track-promo-name=""PROMONAME"" data-track-promo-creative=""PROMOCREATIVE"" data-track-promo-position=""PROMOPOSITION"" &#62;Content&#60;/a&#62;"
"Persistent datalayer expiry time","Persistent datalayer expiry time"
"The specified value represents minutes.","The specified value represents minutes."
"Child vs Parent","Child vs Parent"
"Send Parent Id or Child id cart, checkout and thank you page","Send Parent Id or Child id cart, checkout and thank you page"
"Use Secure Cookies","Use Secure Cookies"
"Send the cookies as secure ones. Should only be used if your whole site is on HTTPS.","Send the cookies as secure ones. Should only be used if your whole site is on HTTPS."
"User Scoped Custom Dimensions","User Scoped Custom Dimensions"
